imdb_title_id,G/B,year,date_published,month_published,duration,directors_rating,actors_rating,Comedy,Drama,Horror,Musical,Action,Crime,Animation,Adventure,Biography,Family,Thriller,Fantasy,Romance,Sci-Fi,Mystery,War,Western,Music,Sport,History
tt5622262,1,2013,1905/7/5,7,176,6.23,7.21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt6019206,1,2011,2011/3/27,3,247,8.05,6.52,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tt7286456,1,2019,2019/10/4,10,122,7.4,6.19,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tt7600396,1,2016,2016/7/25,7,164,,6.78,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt7794052,1,2018,2018/2/2,2,122,,7.57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt7984730,1,2018,2018/2/7,2,119,,6.43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt8016662,1,2019,2019/1/18,1,107,,7.73,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt8364132,1,2019,2019/1/18,1,163,,5.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tt8483296,1,2018,2018/5/17,5,151,6.6,5.41,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt9081472,1,2018,2018/10/5,10,144,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt9477520,1,2019,2019/10/11,10,141,,6.6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt9742362,1,2019,2019/6/21,6,131,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tt0167261,1,2002,2002/12/18,12,179,7.88,7.83,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
tt0270321,1,2000,2000/12/15,12,197,6.75,7.19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
tt0311594,1,2001,2001/9/6,9,184,7.27,6.74,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
tt10008784,1,2019,2019/11/11,11,105,,7.14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt10702760,1,2019,2019/9/12,9,80,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1302006,1,2019,2019/11/27,11,209,7.88,7.68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tt3313066,1,2014,2014/1/30,1,192,,7.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
tt3555534,1,2015,2015/12/11,12,120,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt3817950,1,2014,2014/10/10,10,119,,7.32,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
tt4020156,1,2014,2014/9/16,9,180,8,7.54,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt4280824,1,2015,2015/1/30,1,135,7.5,8.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tt4519488,1,2018,2018/3/12,3,95,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tt4621100,1,2014,2018/4/13,4,146,,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt4932720,1,2015,2015/10/16,10,120,,6.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt5867800,1,2016,2017/12/15,12,130,,6.58,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt6148156,1,2017,2017/7/21,7,147,,7.29,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tt6330122,1,2011,2011/12/23,12,70,,6.84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt6922018,1,2017,2017/5/19,5,49,,6.78,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tt7019842,1,2018,2018/10/4,10,158,,7.01,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tt7060344,1,2018,2018/10/5,10,170,6.75,6.88,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tt7318290,1,2016,2016/1/4,1,112,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt7993848,1,2019,2019/1/3,1,70,,6.8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt8602654,1,2018,2018/8/23,8,147,,6.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt8948790,1,2019,2019/4/19,4,157,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt9378950,1,2019,2019/10/18,10,130,6.73,6.5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tt9430780,1,2019,2019/2/15,2,130,,6.9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tt0137204,1,2017,2017/4/22,4,83,5.1,6.62,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
tt0245429,1,2001,2003/9/12,9,125,8.2,7.67,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
tt0271383,1,2000,2000/9/10,9,104,7.97,6.69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0317248,1,2002,2003/1/3,1,130,7.7,6.66,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0319836,1,2002,1905/6/24,6,95,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
